seed,labeled_count,random_val_f1,random_test_f1,uncertainty_val_f1,uncertainty_test_f1,dataset,model_name,batch_size,epochs,learning_rate,initial_labeled,samples_per_iteration,num_iterations,pool_size,annotator_noise
42,100,0.6515278714853407,0.6468587760289722,0.6515278714853407,0.6468587760289722,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,110,0.708439180205338,0.6936691905437186,0.7426403101137297,0.7344928825338783,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,120,0.7913897020860525,0.7940699826765185,0.8009129782331939,0.8102142828199008,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,130,0.8040453532598064,0.8154315362034146,0.8100887196241338,0.8210489451073498,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,140,0.8065104349193108,0.8234033552316458,0.8184801434613008,0.834969090717923,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,150,0.8183006171475767,0.8356238623235217,0.8214470835753974,0.8409342016348125,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,160,0.8182537577940463,0.8351500015615685,0.8233593818772176,0.844966884962432,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,170,0.8140359539009917,0.838326808685161,0.8261937172975957,0.8524997409547594,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,180,0.8257602437404733,0.8481498529973945,0.8291990154231268,0.8525572074735779,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,190,0.8177479562272909,0.8356983650226713,0.8343666923271073,0.8606772572361049,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,200,0.7896043432922802,0.8141796320543424,0.835662670096459,0.8597601500698273,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,210,0.8001881409212821,0.8223252213592193,0.832504450935953,0.8539449745965484,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,220,0.8191360613323975,0.8448116906895204,0.8372448174990728,0.8587396988440142,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,230,0.8183525948805811,0.8381533959984863,0.842643202688233,0.8664221095267409,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,240,0.8234114945540526,0.8497969989174329,0.841731740765571,0.861920088810275,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
42,250,0.8098163838866069,0.8345563550546395,0.8434084991233841,0.863547773933856,ag_news,prajjwal1/bert-mini,16,4,3e-05,100,10,40,2500,0.0
