seed,labeled_count,random_val_f1,random_test_f1,uncertainty_val_f1,uncertainty_test_f1,dataset,model_name,batch_size,epochs,learning_rate,initial_labeled,samples_per_iteration,num_iterations,pool_size,annotator_noise
42,50,0.180622918640966,0.16445185919237987,0.180622918640966,0.16445185919237987,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,60,0.31160431309145953,0.24285279750842792,0.31477745754472347,0.24802707436784657,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,70,0.2951344494333261,0.23920323834151255,0.2965755848567991,0.23920323834151255,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,80,0.2965755848567991,0.23920323834151255,0.2965755848567991,0.23920323834151255,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,90,0.3008995023058308,0.24788125549900458,0.30350140737478787,0.2428136202382071,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,100,0.3363583167493383,0.279638221054741,0.323268289146986,0.2922725319936126,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,110,0.3356692450232528,0.27779915568163727,0.3351189785984162,0.29411914709826426,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,120,0.34734548061027476,0.28884286746587967,0.3515322401569561,0.3096183061643475,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,130,0.35450188737190824,0.2925625500648753,0.3678287113315457,0.3287739109696022,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,140,0.36650373846314155,0.30532983204104786,0.38749803469797117,0.33917359729195784,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,150,0.38303766683431967,0.3134805326932732,0.40764382726836434,0.34880858597537695,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,160,0.4075986053742199,0.33684156751014305,0.41411822148604505,0.37161026716173895,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,170,0.41903281868656567,0.36239445130915643,0.42634277575321106,0.39382283090344244,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,180,0.43219120451273196,0.3776856620060687,0.43406032087507895,0.40826527404695645,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,190,0.4488017204139698,0.40642882787017587,0.44028291654504054,0.4085362677896503,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,200,0.4463570836932607,0.4079154305596302,0.45296225075296614,0.43384154570935585,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,210,0.4077898693947813,0.40940577924464977,0.44514848591748796,0.443208050069577,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,220,0.46776329730644745,0.4397808500761726,0.48310542899922027,0.4596159253432583,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,230,0.4850077716742291,0.4707790543580794,0.49636861358680395,0.4625113443155684,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,240,0.4641372637780929,0.45154625541195964,0.47374285541743144,0.4625327336800284,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,250,0.4232018257639559,0.43672579920948984,0.46169245683742133,0.46483225654843296,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,260,0.4788609541309211,0.4655132152651599,0.4550572826925425,0.47976706589218127,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,270,0.4545349095878078,0.4724260332669341,0.5099183936503329,0.4983402526679921,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
42,280,0.4809995480534012,0.47548213607963935,0.5391524422587787,0.4858002306535135,aegis,prajjwal1/bert-mini,16,3,3e-05,50,10,40,4000,0.0
