seed,labeled_count,random_val_accuracy,random_val_weighted_f1,random_val_macro_f1,random_val_f1_class_0,random_val_f1_class_1,random_val_f1_class_2,random_val_f1_class_3,random_test_accuracy,random_test_weighted_f1,random_test_macro_f1,random_test_f1_class_0,random_test_f1_class_1,random_test_f1_class_2,random_test_f1_class_3,uncertainty_val_accuracy,uncertainty_val_weighted_f1,uncertainty_val_macro_f1,uncertainty_val_f1_class_0,uncertainty_val_f1_class_1,uncertainty_val_f1_class_2,uncertainty_val_f1_class_3,uncertainty_test_accuracy,uncertainty_test_weighted_f1,uncertainty_test_macro_f1,uncertainty_test_f1_class_0,uncertainty_test_f1_class_1,uncertainty_test_f1_class_2,uncertainty_test_f1_class_3,dataset,model_name,batch_size,epochs,learning_rate,initial_labeled,samples_per_iteration,num_iterations,pool_size,annotator_noise
42,200,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249102827086467,0.2237500857280022,0.8950003429120088,0.0,0.0,0.0,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249102827086467,0.2237500857280022,0.8950003429120088,0.0,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,210,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249102827086467,0.2237500857280022,0.8950003429120088,0.0,0.0,0.0,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249102827086467,0.2237500857280022,0.8950003429120088,0.0,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,220,0.8140285536933581,0.7352268526880302,0.23988204145190414,0.8969738651994498,0.06255430060816682,0.0,0.0,0.8138033763654419,0.7354832045431599,0.2406391867274742,0.8968696250429996,0.06568712186689715,0.0,0.0,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249102827086467,0.2237500857280022,0.8950003429120088,0.0,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,230,0.8568590937306021,0.8243439702926635,0.3709779038085462,0.9219550934950546,0.5619565217391305,0.0,0.0,0.8538977159880834,0.8218230845876977,0.36810119782677697,0.9207175925925926,0.5516871987145152,0.0,0.0,0.8100558659217877,0.7250500034485137,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,0.8099553128103277,0.7249600022067747,0.22376543209876543,0.8950617283950617,0.0,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,240,0.8532588454376164,0.8132058402918828,0.3546238400502879,0.9188076650106458,0.49968769519050593,0.0,0.0,0.8541459781529295,0.81536152025737,0.3583121177097336,0.9191380413910817,0.5141104294478528,0.0,0.0,0.8382371198013656,0.7872046469526761,0.3188054739968276,0.9095238095238095,0.36569808646350105,0.0,0.0,0.8393743793445879,0.7911767978639364,0.32552779533981285,0.910061832490163,0.39204934886908843,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,250,0.8588454376163873,0.8232994022684854,0.3688579356003441,0.9221411192214112,0.553290623179965,0.0,0.0,0.8602284011916584,0.8257309610959649,0.37235134433409905,0.923043821272323,0.5663615560640732,0.0,0.0,0.845437616387337,0.8115559317562233,0.35761374681554725,0.9138986958714604,0.5165562913907285,0.0,0.0,0.8483118172790467,0.8160020352824289,0.3626455809061608,0.916534066251989,0.5340482573726542,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,260,0.7546865301055246,0.7611899117741815,0.3389003889785944,0.8543242354488655,0.5012773204655123,0.0,0.0,0.7535998013902682,0.7611011451490033,0.3384038634700753,0.8547403132728771,0.49887514060742405,0.0,0.0,0.8477963997517071,0.8080313548366427,0.3495855805019533,0.9152445961319682,0.4830977258758451,0.0,0.0,0.8524081429990069,0.8153066897827835,0.3592368687244121,0.9182973860877017,0.5186500888099467,0.0,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,270,0.852513966480447,0.8253309167901451,0.37422877106681124,0.9222767562815911,0.5637982195845698,0.01084010840108401,0.0,0.8571251241310824,0.8317091591480354,0.38175803700816424,0.9249558563861094,0.5968131337518107,0.005263157894736842,0.0,0.7798882681564245,0.7824124842251057,0.37266410234823405,0.8739415242051446,0.5044699872286079,0.11224489795918367,0.0,0.7796673286991063,0.7817811534656939,0.37060096699893963,0.8734622144112478,0.5063775510204082,0.10256410256410256,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,280,0.8081936685288641,0.8001328693239588,0.36090466590982545,0.8949629051151894,0.5432357043235704,0.005420054200542005,0.0,0.8114448857994042,0.8025337418045686,0.36389520136648823,0.896943299369993,0.5481111903064861,0.010526315789473684,0.0,0.8459342023587834,0.8220392906679914,0.39509345393550827,0.9148343594253885,0.5508262393590385,0.11471321695760599,0.0,0.8466981132075472,0.8225929187264764,0.387536119272009,0.9166666666666666,0.5567514677103719,0.07672634271099744,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,290,0.8566108007448789,0.8220910739190718,0.3690546545524317,0.9217416254214188,0.543365881677197,0.011111111111111112,0.0,0.8579940417080437,0.8252562802708153,0.3722069301550777,0.9224560392043817,0.5663716814159292,0.0,0.0,0.8552451893234017,0.8252486890733459,0.39650978306164564,0.9195766433868529,0.5437003405221339,0.12276214833759591,0.0,0.8602284011916584,0.8317589517671978,0.40249606147600087,0.9226431463273569,0.5776805251641138,0.10966057441253264,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
42,300,0.858348851644941,0.822247993490161,0.369274888762608,0.9225171232876712,0.5383222691611346,0.016260162601626018,0.0,0.8581181727904668,0.8233732735805758,0.370919620552816,0.9222182468694097,0.5507075471698113,0.010752688172043012,0.0,0.8509000620732464,0.8200466007718475,0.3944105280812228,0.9173180351380423,0.5107913669064749,0.14953271028037382,0.0,0.8568768619662364,0.8281499139816858,0.4093345020447769,0.92075363152596,0.5420560747663551,0.17452830188679244,0.0,gametox_merged,bert-base-uncased,16,1,3e-05,200,10,50,5000,0.1
